year,country,city,stage,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1962,Chile,Viña del Mar,Group 3,Spain,0,1,A,Italy won in AET,Spain,Mexico,1962-06-03,Jun,Sunday,1960s,June
1962,Chile,Rancagua,Group 4,Hungary,0,0,D,Italy won in AET,Brazil,Mexico,1962-06-06,Jun,Wednesday,1960s,June
1962,Chile,Viña del Mar,Group 3,Spain,2,1,H,Italy won in AET,Brazil,Spain,1962-06-06,Jun,Wednesday,1960s,June
1962,Chile,Santiago,Group 2,West Germany,0,2,A,Italy won in AET,West Germany,Chile,1962-06-06,Jun,Wednesday,1960s,June
1962,Chile,Arica,Group 1,Uruguay,2,1,H,Italy won in AET,Soviet Union,Uruguay,1962-06-06,Jun,Wednesday,1960s,June
1962,Chile,Rancagua,Group 4,England,0,0,D,Italy won in AET,Brazil,Mexico,1962-06-07,Jun,Thursday,1960s,June
1962,Chile,Arica,Group 1,Yugoslavia,0,5,A,Italy won in AET,Yugoslavia,Colombia,1962-06-07,Jun,Thursday,1960s,June
1962,Chile,Viña del Mar,Group 3,Mexico,1,3,A,Italy won in AET,Mexico,Czechoslovakia,1962-06-07,Jun,Thursday,1960s,June
1962,Chile,Santiago,Group 2,Switzerland,3,0,H,Italy won in AET,Italy,Switzerland,1962-06-07,Jun,Thursday,1960s,June
1962,Chile,Viña del Mar,Quarterfinals,England,3,1,H,Italy won in AET,Brazil,England,1962-06-10,Jun,Sunday,1960s,June
1962,Chile,Arica,Quarterfinals,Soviet Union,2,1,H,Italy won in AET,Chile,Soviet Union,1962-06-10,Jun,Sunday,1960s,June
1962,Chile,Rancagua,Quarterfinals,Hungary,1,0,H,Italy won in AET,Czechoslovakia,Hungary,1962-06-10,Jun,Sunday,1960s,June
1962,Chile,Santiago,Quarterfinals,Yugoslavia,0,1,A,Italy won in AET,Yugoslavia,West Germany,1962-06-10,Jun,Sunday,1960s,June
1962,Chile,Santiago,Semifinals,Brazil,2,4,A,Italy won in AET,Brazil,Chile,1962-06-13,Jun,Wednesday,1960s,June
1962,Chile,Viña del Mar,Semifinals,Yugoslavia,3,1,H,Italy won in AET,Czechoslovakia,Yugoslavia,1962-06-13,Jun,Wednesday,1960s,June
1962,Chile,Santiago,Third place,Yugoslavia,1,0,H,Italy won in AET,Chile,Yugoslavia,1962-06-16,Jun,Saturday,1960s,June
1962,Chile,Santiago,Final,Czechoslovakia,3,1,H,Italy won in AET,Brazil,Czechoslovakia,1962-06-17,Jun,Sunday,1960s,June
1966,England,London,Group 1,Uruguay,0,0,D,Italy won in AET,Brazil,Mexico,1966-07-11,Jul,Monday,1960s,July
1966,England,Liverpool,Group 3,Bulgaria,2,0,H,Italy won in AET,Brazil,Bulgaria,1966-07-12,Jul,Tuesday,1960s,July
1966,England,Sheffield,Group 2,Switzerland,5,0,H,Italy won in AET,West Germany,Switzerland,1966-07-12,Jul,Tuesday,1960s,July
1966,England,Middlesbrough,Group 4,Soviet Union,0,3,A,Italy won in AET,Soviet Union,North Korea,1966-07-12,Jul,Tuesday,1960s,July
1966,England,Birmingham,Group 2,Spain,2,1,H,Italy won in AET,Argentina,Spain,1966-07-13,Jul,Wednesday,1960s,July
