year,country,city,stage,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
2002,South Korea,Busan,Group A,Uruguay,0,0,D,Italy won in AET,Brazil,Mexico,2002-06-06,Jun,Thursday,2000s,June
2002,Japan,Sapporo,Group F,England,0,1,A,Italy won in AET,England,Argentina,2002-06-07,Jun,Friday,2000s,June
2002,South Korea,Jeonju,Group B,Paraguay,3,1,H,Italy won in AET,Spain,Paraguay,2002-06-07,Jun,Friday,2000s,June
2002,Japan,Kobe,Group F,Nigeria,2,1,H,Italy won in AET,Sweden,Nigeria,2002-06-07,Jun,Friday,2000s,June
2002,South Korea,Seogwipo,Group C,China PR,4,0,H,Italy won in AET,Brazil,China PR,2002-06-08,Jun,Saturday,2000s,June
2002,Japan,Kashima,Group G,Croatia,1,2,A,Italy won in AET,Croatia,Italy,2002-06-08,Jun,Saturday,2000s,June
2002,South Korea,Daegu,Group B,Slovenia,1,0,H,Italy won in AET,South Africa,Slovenia,2002-06-08,Jun,Saturday,2000s,June
2002,South Korea,Incheon,Group C,Turkey,1,1,D,Italy won in AET,Brazil,Mexico,2002-06-09,Jun,Sunday,2000s,June
2002,Japan,Yokohama,Group H,Russia,1,0,H,Italy won in AET,Japan,Russia,2002-06-09,Jun,Sunday,2000s,June
2002,Japan,Rifu,Group G,Ecuador,2,1,H,Italy won in AET,Mexico,Ecuador,2002-06-09,Jun,Sunday,2000s,June
2002,South Korea,Daegu,Group D,United States,1,1,D,Italy won in AET,Brazil,Mexico,2002-06-10,Jun,Monday,2000s,June
2002,South Korea,Jeonju,Group D,Poland,4,0,H,Italy won in AET,Portugal,Poland,2002-06-10,Jun,Monday,2000s,June
2002,Japan,Ōita,Group H,Belgium,1,1,D,Italy won in AET,Brazil,Mexico,2002-06-10,Jun,Monday,2000s,June
2002,Japan,Fukuroi,Group E,Germany,0,2,A,Italy won in AET,Germany,Cameroon,2002-06-11,Jun,Tuesday,2000s,June
2002,South Korea,Incheon,Group A,France,2,0,H,Italy won in AET,Denmark,France,2002-06-11,Jun,Tuesday,2000s,June
2002,Japan,Yokohama,Group E,Republic of Ireland,0,3,A,Italy won in AET,Republic of Ireland,Saudi Arabia,2002-06-11,Jun,Tuesday,2000s,June
2002,South Korea,Suwon,Group A,Uruguay,3,3,D,Italy won in AET,Brazil,Mexico,2002-06-11,Jun,Tuesday,2000s,June
2002,Japan,Osaka,Group F,England,0,0,D,Italy won in AET,Brazil,Mexico,2002-06-12,Jun,Wednesday,2000s,June
2002,South Korea,Seogwipo,Group B,Paraguay,1,3,A,Italy won in AET,Paraguay,Slovenia,2002-06-12,Jun,Wednesday,2000s,June
2002,South Korea,Daejeon,Group B,Spain,2,3,A,Italy won in AET,Spain,South Africa,2002-06-12,Jun,Wednesday,2000s,June
2002,Japan,Rifu,Group F,Argentina,1,1,D,Italy won in AET,Brazil,Mexico,2002-06-12,Jun,Wednesday,2000s,June
2002,South Korea,Suwon,Group C,Brazil,2,5,A,Italy won in AET,Brazil,Costa Rica,2002-06-13,Jun,Thursday,2000s,June
2002,Japan,Yokohama,Group G,Croatia,1,0,H,Italy won in AET,Ecuador,Croatia,2002-06-13,Jun,Thursday,2000s,June
2002,Japan,Ōita,Group G,Italy,1,1,D,Italy won in AET,Brazil,Mexico,2002-06-13,Jun,Thursday,2000s,June
2002,South Korea,Seoul,Group C,China PR,3,0,H,Italy won in AET,Turkey,China PR,2002-06-13,Jun,Thursday,2000s,June
2002,Japan,Fukuroi,Group H,Russia,3,2,H,Italy won in AET,Belgium,Russia,2002-06-14,Jun,Friday,2000s,June
2002,Japan,Osaka,Group H,Tunisia,2,0,H,Italy won in AET,Japan,Tunisia,2002-06-14,Jun,Friday,2000s,June
2002,South Korea,Incheon,Group D,Portugal,1,0,H,Italy won in AET,South Korea,Portugal,2002-06-14,Jun,Friday,2000s,June
2002,South Korea,Daejeon,Group D,United States,3,1,H,Italy won in AET,Poland,United States,2002-06-14,Jun,Friday,2000s,June
2002,Japan,Niigata,Round of 16,England,0,3,A,Italy won in AET,England,Denmark,2002-06-15,Jun,Saturday,2000s,June
2002,South Korea,Seogwipo,Round of 16,Paraguay,1,0,H,Italy won in AET,Germany,Paraguay,2002-06-15,Jun,Saturday,2000s,June
2002,South Korea,Suwon,Round of 16,Republic of Ireland,1,1,H,Spain won in penalties (3 - 2),Spain,Republic of Ireland,2002-06-16,Jun,Sunday,2000s,June
2002,Japan,Ōita,Round of 16,Senegal,1,2,A,Senegal won in AET,Senegal,Sweden,2002-06-16,Jun,Sunday,2000s,June
2002,Japan,Kobe,Round of 16,Belgium,2,0,H,Italy won in AET,Brazil,Belgium,2002-06-17,Jun,Monday,2000s,June
2002,South Korea,Jeonju,Round of 16,United States,0,2,A,Italy won in AET,United States,Mexico,2002-06-17,Jun,Monday,2000s,June
2002,Japan,Rifu,Round of 16,Turkey,0,1,A,Italy won in AET,Turkey,Japan,2002-06-18,Jun,Tuesday,2000s,June
2002,South Korea,Daejeon,Round of 16,Italy,2,1,H,South Korea won in AET,South Korea,Italy,2002-06-18,Jun,Tuesday,2000s,June
2002,Japan,Fukuroi,Quarterfinals,Brazil,1,2,A,Italy won in AET,Brazil,England,2002-06-21,Jun,Friday,2000s,June
2002,South Korea,Ulsan,Quarterfinals,United States,1,0,H,Italy won in AET,Germany,United States,2002-06-21,Jun,Friday,2000s,June
2002,South Korea,Gwangju,Quarterfinals,Spain,0,0,H,South Korea won in penalties (5 - 3),South Korea,Spain,2002-06-22,Jun,Saturday,2000s,June
2002,Japan,Osaka,Quarterfinals,Turkey,0,1,A,Turkey won in AET,Turkey,Senegal,2002-06-22,Jun,Saturday,2000s,June
2002,South Korea,Seoul,Semifinals,Germany,0,1,A,Italy won in AET,Germany,South Korea,2002-06-25,Jun,Tuesday,2000s,June
2002,Japan,Saitama,Semifinals,Turkey,1,0,H,Italy won in AET,Brazil,Turkey,2002-06-26,Jun,Wednesday,2000s,June
2002,South Korea,Daegu,Third place,Turkey,2,3,A,Italy won in AET,Turkey,South Korea,2002-06-29,Jun,Saturday,2000s,June
2002,Japan,Yokohama,Final,Brazil,0,2,A,Italy won in AET,Brazil,Germany,2002-06-30,Jun,Sunday,2000s,June
2006,Germany,Munich,Group A,Costa Rica,4,2,H,Italy won in AET,Germany,Costa Rica,2006-06-09,Jun,Friday,2000s,June
2006,Germany,Gelsenkirchen,Group A,Ecuador,0,2,A,Italy won in AET,Ecuador,Poland,2006-06-09,Jun,Friday,2000s,June
2006,Germany,Hamburg,Group C,Ivory Coast,2,1,H,Italy won in AET,Argentina,Ivory Coast,2006-06-10,Jun,Saturday,2000s,June
2006,Germany,Frankfurt am Main,Group B,Paraguay,1,0,H,Italy won in AET,England,Paraguay,2006-06-10,Jun,Saturday,2000s,June
2006,Germany,Dortmund,Group B,Sweden,0,0,D,Italy won in AET,Brazil,Mexico,2006-06-10,Jun,Saturday,2000s,June
2006,Germany,Cologne,Group D,Portugal,0,1,A,Italy won in AET,Portugal,Angola,2006-06-11,Jun,Sunday,2000s,June
2006,Germany,Nuremberg,Group D,Iran,3,1,H,Italy won in AET,Mexico,Iran,2006-06-11,Jun,Sunday,2000s,June
2006,Germany,Leipzig,Group C,Netherlands,0,1,A,Italy won in AET,Netherlands,Serbia,2006-06-11,Jun,Sunday,2000s,June
2006,Germany,Kaiserslautern,Group F,Japan,3,1,H,Italy won in AET,Australia,Japan,2006-06-12,Jun,Monday,2000s,June
2006,Germany,Hanover,Group E,Ghana,2,0,H,Italy won in AET,Italy,Ghana,2006-06-12,Jun,Monday,2000s,June
2006,Germany,Gelsenkirchen,Group E,Czech Republic,0,3,A,Italy won in AET,Czech Republic,United States,2006-06-12,Jun,Monday,2000s,June
2006,Germany,Berlin,Group F,Croatia,1,0,H,Italy won in AET,Brazil,Croatia,2006-06-13,Jun,Tuesday,2000s,June
2006,Germany,Stuttgart,Group G,Switzerland,0,0,D,Italy won in AET,Brazil,Mexico,2006-06-13,Jun,Tuesday,2000s,June
2006,Germany,Frankfurt am Main,Group G,Togo,2,1,H,Italy won in AET,South Korea,Togo,2006-06-13,Jun,Tuesday,2000s,June
2006,Germany,Dortmund,Group A,Poland,1,0,H,Italy won in AET,Germany,Poland,2006-06-14,Jun,Wednesday,2000s,June
2006,Germany,Leipzig,Group H,Ukraine,4,0,H,Italy won in AET,Spain,Ukraine,2006-06-14,Jun,Wednesday,2000s,June
2006,Germany,Munich,Group H,Saudi Arabia,2,2,D,Italy won in AET,Brazil,Mexico,2006-06-14,Jun,Wednesday,2000s,June
2006,Germany,Hamburg,Group A,Costa Rica,3,0,H,Italy won in AET,Ecuador,Costa Rica,2006-06-15,Jun,Thursday,2000s,June
2006,Germany,Nuremberg,Group B,Trinidad and Tobago,2,0,H,Italy won in AET,England,Trinidad and Tobago,2006-06-15,Jun,Thursday,2000s,June
2006,Germany,Berlin,Group B,Paraguay,1,0,H,Italy won in AET,Sweden,Paraguay,2006-06-15,Jun,Thursday,2000s,June
2006,Germany,Gelsenkirchen,Group C,Serbia,5,0,H,Italy won in AET,Argentina,Serbia,2006-06-16,Jun,Friday,2000s,June
2006,Germany,Hanover,Group D,Angola,0,0,D,Italy won in AET,Brazil,Mexico,2006-06-16,Jun,Friday,2000s,June
2006,Germany,Stuttgart,Group C,Ivory Coast,2,1,H,Italy won in AET,Netherlands,Ivory Coast,2006-06-16,Jun,Friday,2000s,June
2006,Germany,Cologne,Group E,Ghana,0,2,A,Italy won in AET,Ghana,Czech Republic,2006-06-17,Jun,Saturday,2000s,June
2006,Germany,Kaiserslautern,Group E,United States,1,1,D,Italy won in AET,Brazil,Mexico,2006-06-17,Jun,Saturday,2000s,June
2006,Germany,Frankfurt am Main,Group D,Iran,2,0,H,Italy won in AET,Portugal,Iran,2006-06-17,Jun,Saturday,2000s,June
2006,Germany,Munich,Group F,Australia,2,0,H,Italy won in AET,Brazil,Australia,2006-06-18,Jun,Sunday,2000s,June
2006,Germany,Leipzig,Group G,South Korea,1,1,D,Italy won in AET,Brazil,Mexico,2006-06-18,Jun,Sunday,2000s,June
2006,Germany,Nuremberg,Group F,Croatia,0,0,D,Italy won in AET,Brazil,Mexico,2006-06-18,Jun,Sunday,2000s,June
2006,Germany,Hamburg,Group H,Ukraine,0,4,A,Italy won in AET,Ukraine,Saudi Arabia,2006-06-19,Jun,Monday,2000s,June
2006,Germany,Stuttgart,Group H,Tunisia,3,1,H,Italy won in AET,Spain,Tunisia,2006-06-19,Jun,Monday,2000s,June
2006,Germany,Dortmund,Group G,Switzerland,0,2,A,Italy won in AET,Switzerland,Togo,2006-06-19,Jun,Monday,2000s,June
2006,Germany,Hanover,Group A,Poland,1,2,A,Italy won in AET,Poland,Costa Rica,2006-06-20,Jun,Tuesday,2000s,June
2006,Germany,Berlin,Group A,Ecuador,3,0,H,Italy won in AET,Germany,Ecuador,2006-06-20,Jun,Tuesday,2000s,June
2006,Germany,Kaiserslautern,Group B,Trinidad and Tobago,2,0,H,Italy won in AET,Paraguay,Trinidad and Tobago,2006-06-20,Jun,Tuesday,2000s,June
2006,Germany,Cologne,Group B,England,2,2,D,Italy won in AET,Brazil,Mexico,2006-06-20,Jun,Tuesday,2000s,June
2006,Germany,Leipzig,Group D,Angola,1,1,D,Italy won in AET,Brazil,Mexico,2006-06-21,Jun,Wednesday,2000s,June
2006,Germany,Munich,Group C,Serbia,3,2,H,Italy won in AET,Ivory Coast,Serbia,2006-06-21,Jun,Wednesday,2000s,June
2006,Germany,Frankfurt am Main,Group C,Argentina,0,0,D,Italy won in AET,Brazil,Mexico,2006-06-21,Jun,Wednesday,2000s,June
2006,Germany,Gelsenkirchen,Group D,Mexico,2,1,H,Italy won in AET,Portugal,Mexico,2006-06-21,Jun,Wednesday,2000s,June
2006,Germany,Stuttgart,Group F,Australia,2,2,D,Italy won in AET,Brazil,Mexico,2006-06-22,Jun,Thursday,2000s,June
2006,Germany,Hamburg,Group E,Italy,0,2,A,Italy won in AET,Italy,Czech Republic,2006-06-22,Jun,Thursday,2000s,June
2006,Germany,Nuremberg,Group E,United States,2,1,H,Italy won in AET,Ghana,United States,2006-06-22,Jun,Thursday,2000s,June
2006,Germany,Dortmund,Group F,Brazil,1,4,A,Italy won in AET,Brazil,Japan,2006-06-22,Jun,Thursday,2000s,June
2006,Germany,Kaiserslautern,Group H,Spain,0,1,A,Italy won in AET,Spain,Saudi Arabia,2006-06-23,Jun,Friday,2000s,June
2006,Germany,Hanover,Group H,South Korea,2,0,H,Italy won in AET,Switzerland,South Korea,2006-06-23,Jun,Friday,2000s,June
2006,Germany,Cologne,Group G,France,0,2,A,Italy won in AET,France,Togo,2006-06-23,Jun,Friday,2000s,June
2006,Germany,Berlin,Group G,Tunisia,1,0,H,Italy won in AET,Ukraine,Tunisia,2006-06-23,Jun,Friday,2000s,June
2006,Germany,Leipzig,Round of 16,Mexico,2,1,H,Argentina won in AET,Argentina,Mexico,2006-06-24,Jun,Saturday,2000s,June
2006,Germany,Munich,Round of 16,Sweden,2,0,H,Italy won in AET,Germany,Sweden,2006-06-24,Jun,Saturday,2000s,June
2006,Germany,Stuttgart,Round of 16,Ecuador,1,0,H,Italy won in AET,England,Ecuador,2006-06-25,Jun,Sunday,2000s,June
2006,Germany,Nuremberg,Round of 16,Netherlands,1,0,H,Italy won in AET,Portugal,Netherlands,2006-06-25,Jun,Sunday,2000s,June
2006,Germany,Kaiserslautern,Round of 16,Australia,1,0,H,Italy won in AET,Italy,Australia,2006-06-26,Jun,Monday,2000s,June
2006,Germany,Cologne,Round of 16,Ukraine,0,0,A,Ukraine won in penalties (3- 0),Ukraine,Switzerland,2006-06-26,Jun,Monday,2000s,June
2006,Germany,Dortmund,Round of 16,Ghana,3,0,H,Italy won in AET,Brazil,Ghana,2006-06-27,Jun,Tuesday,2000s,June
2006,Germany,Hanover,Round of 16,France,1,3,A,Italy won in AET,France,Spain,2006-06-27,Jun,Tuesday,2000s,June
2006,Germany,Berlin,Quarterfinals,Argentina,1,1,H,Germany won in penalties (4 - 2),Germany,Argentina,2006-06-30,Jun,Friday,2000s,June
2006,Germany,Hamburg,Quarterfinals,Ukraine,3,0,H,Italy won in AET,Italy,Ukraine,2006-06-30,Jun,Friday,2000s,June
2006,Germany,Frankfurt am Main,Quarterfinals,France,0,1,A,Italy won in AET,France,Brazil,2006-07-01,Jul,Saturday,2000s,July
2006,Germany,Gelsenkirchen,Quarterfinals,Portugal,0,0,A,Portugal won in penalties (3 - 1),Portagul,England,2006-07-01,Jul,Saturday,2000s,July
2006,Germany,Dortmund,Semifinals,Italy,0,2,A,Italy won in AET,Italy,Germany,2006-07-04,Jul,Tuesday,2000s,July
2006,Germany,Munich,Semifinals,France,0,1,A,Italy won in AET,France,Portugal,2006-07-05,Jul,Wednesday,2000s,July
2006,Germany,Stuttgart,Third place,Portugal,3,1,H,Italy won in AET,Germany,Portugal,2006-07-08,Jul,Saturday,2000s,July
2006,Germany,Berlin,Final,France,1,1,H,Italy won in penalties (5 - 3),Italy,France,2006-07-09,Jul,Sunday,2000s,July
2010,South Africa,Johannesburg,Group A,Mexico,1,1,D,Italy won in AET,Brazil,Mexico,2010-06-11,Jun,Friday,2010s,June
2010,South Africa,Cape Town,Group A,France,0,0,D,Italy won in AET,Brazil,Mexico,2010-06-11,Jun,Friday,2010s,June
2010,South Africa,Johannesburg,Group B,Nigeria,1,0,H,Italy won in AET,Argentina,Nigeria,2010-06-12,Jun,Saturday,2010s,June
2010,South Africa,Rustenburg,Group C,United States,1,1,D,Italy won in AET,Brazil,Mexico,2010-06-12,Jun,Saturday,2010s,June
2010,South Africa,Port Elizabeth,Group B,Greece,2,0,H,Italy won in AET,South Korea,Greece,2010-06-12,Jun,Saturday,2010s,June
2010,South Africa,Polokwane,Group C,Slovenia,0,1,A,Italy won in AET,Slovenia,Algeria,2010-06-13,Jun,Sunday,2010s,June
2010,South Africa,Durban,Group D,Australia,4,0,H,Italy won in AET,Germany,Australia,2010-06-13,Jun,Sunday,2010s,June
2010,South Africa,Pretoria,Group D,Ghana,0,1,A,Italy won in AET,Ghana,Serbia,2010-06-13,Jun,Sunday,2010s,June
2010,South Africa,Cape Town,Group F,Paraguay,1,1,D,Italy won in AET,Brazil,Mexico,2010-06-14,Jun,Monday,2010s,June
2010,South Africa,Bloemfontein,Group E,Cameroon,1,0,H,Italy won in AET,Japan,Cameroon,2010-06-14,Jun,Monday,2010s,June
2010,South Africa,Johannesburg,Group E,Denmark,2,0,H,Italy won in AET,Netherlands,Denmark,2010-06-14,Jun,Monday,2010s,June
2010,South Africa,Johannesburg,Group G,North Korea,2,1,H,Italy won in AET,Brazil,North Korea,2010-06-15,Jun,Tuesday,2010s,June
2010,South Africa,Port Elizabeth,Group G,Portugal,0,0,D,Italy won in AET,Brazil,Mexico,2010-06-15,Jun,Tuesday,2010s,June
2010,South Africa,Rustenburg,Group F,Slovakia,1,1,D,Italy won in AET,Brazil,Mexico,2010-06-15,Jun,Tuesday,2010s,June
2010,South Africa,Nelspruit,Group H,Chile,0,1,A,Italy won in AET,Chile,Honduras,2010-06-16,Jun,Wednesday,2010s,June
2010,South Africa,Pretoria,Group A,Uruguay,0,3,A,Italy won in AET,Uruguay,South Africa,2010-06-16,Jun,Wednesday,2010s,June
2010,South Africa,Durban,Group H,Switzerland,0,1,A,Italy won in AET,Switzerland,Spain,2010-06-16,Jun,Wednesday,2010s,June
2010,South Africa,Johannesburg,Group B,South Korea,4,1,H,Italy won in AET,Argentina,South Korea,2010-06-17,Jun,Thursday,2010s,June
2010,South Africa,Polokwane,Group A,Mexico,0,2,A,Italy won in AET,Mexico,France,2010-06-17,Jun,Thursday,2010s,June
2010,South Africa,Bloemfontein,Group B,Nigeria,2,1,H,Italy won in AET,Greece,Nigeria,2010-06-17,Jun,Thursday,2010s,June
2010,South Africa,Cape Town,Group C,Algeria,0,0,D,Italy won in AET,Brazil,Mexico,2010-06-18,Jun,Friday,2010s,June
2010,South Africa,Port Elizabeth,Group D,Serbia,0,1,A,Italy won in AET,Serbia,Germany,2010-06-18,Jun,Friday,2010s,June
2010,South Africa,Johannesburg,Group C,United States,2,2,D,Italy won in AET,Brazil,Mexico,2010-06-18,Jun,Friday,2010s,June
2010,South Africa,Pretoria,Group E,Denmark,1,2,A,Italy won in AET,Denmark,Cameroon,2010-06-19,Jun,Saturday,2010s,June
2010,South Africa,Rustenburg,Group D,Australia,1,1,D,Italy won in AET,Brazil,Mexico,2010-06-19,Jun,Saturday,2010s,June
2010,South Africa,Durban,Group E,Japan,1,0,H,Italy won in AET,Netherlands,Japan,2010-06-19,Jun,Saturday,2010s,June
2010,South Africa,Johannesburg,Group G,Ivory Coast,3,1,H,Italy won in AET,Brazil,Ivory Coast,2010-06-20,Jun,Sunday,2010s,June
2010,South Africa,Nelspruit,Group F,New Zealand,1,1,D,Italy won in AET,Brazil,Mexico,2010-06-20,Jun,Sunday,2010s,June
2010,South Africa,Bloemfontein,Group F,Paraguay,0,2,A,Italy won in AET,Paraguay,Slovakia,2010-06-20,Jun,Sunday,2010s,June
2010,South Africa,Port Elizabeth,Group H,Switzerland,1,0,H,Italy won in AET,Chile,Switzerland,2010-06-21,Jun,Monday,2010s,June
2010,South Africa,Cape Town,Group G,North Korea,5,0,H,Italy won in AET,Portugal,North Korea,2010-06-21,Jun,Monday,2010s,June
2010,South Africa,Johannesburg,Group H,Honduras,2,0,H,Italy won in AET,Spain,Honduras,2010-06-21,Jun,Monday,2010s,June
2010,South Africa,Polokwane,Group B,Argentina,0,2,A,Italy won in AET,Argentina,Greece,2010-06-22,Jun,Tuesday,2010s,June
2010,South Africa,Rustenburg,Group A,Uruguay,0,1,A,Italy won in AET,Uruguay,Mexico,2010-06-22,Jun,Tuesday,2010s,June
2010,South Africa,Durban,Group B,South Korea,2,2,D,Italy won in AET,Brazil,Mexico,2010-06-22,Jun,Tuesday,2010s,June
2010,South Africa,Bloemfontein,Group A,France,2,1,H,Italy won in AET,South Africa,France,2010-06-22,Jun,Tuesday,2010s,June
2010,South Africa,Nelspruit,Group D,Serbia,2,1,H,Italy won in AET,Australia,Serbia,2010-06-23,Jun,Wednesday,2010s,June
2010,South Africa,Johannesburg,Group D,Germany,0,1,A,Italy won in AET,Germany,Ghana,2010-06-23,Jun,Wednesday,2010s,June
2010,South Africa,Port Elizabeth,Group C,England,0,1,A,Italy won in AET,England,Slovenia,2010-06-23,Jun,Wednesday,2010s,June
2010,South Africa,Pretoria,Group C,Algeria,1,0,H,Italy won in AET,United States,Algeria,2010-06-23,Jun,Wednesday,2010s,June
2010,South Africa,Cape Town,Group E,Netherlands,1,2,A,Italy won in AET,Netherlands,Cameroon,2010-06-24,Jun,Thursday,2010s,June
2010,South Africa,Rustenburg,Group E,Japan,1,3,A,Italy won in AET,Japan,Denmark,2010-06-24,Jun,Thursday,2010s,June
2010,South Africa,Polokwane,Group F,New Zealand,0,0,D,Italy won in AET,Brazil,Mexico,2010-06-24,Jun,Thursday,2010s,June
2010,South Africa,Johannesburg,Group F,Italy,3,2,H,Italy won in AET,Slovakia,Italy,2010-06-24,Jun,Thursday,2010s,June
2010,South Africa,Pretoria,Group H,Spain,1,2,A,Italy won in AET,Spain,Chile,2010-06-25,Jun,Friday,2010s,June
2010,South Africa,Nelspruit,Group G,Ivory Coast,0,3,A,Italy won in AET,Ivory Coast,North Korea,2010-06-25,Jun,Friday,2010s,June
2010,South Africa,Durban,Group G,Brazil,0,0,D,Italy won in AET,Brazil,Mexico,2010-06-25,Jun,Friday,2010s,June
2010,South Africa,Bloemfontein,Group H,Honduras,0,0,D,Italy won in AET,Brazil,Mexico,2010-06-25,Jun,Friday,2010s,June
2010,South Africa,Port Elizabeth,Round of 16,South Korea,2,1,H,Italy won in AET,Uruguay,South Korea,2010-06-26,Jun,Saturday,2010s,June
2010,South Africa,Rustenburg,Round of 16,Ghana,1,2,A,Ghana won in AET,Ghana,United States,2010-06-26,Jun,Saturday,2010s,June
2010,South Africa,Johannesburg,Round of 16,Mexico,3,1,H,Italy won in AET,Argentina,Mexico,2010-06-27,Jun,Sunday,2010s,June
2010,South Africa,Bloemfontein,Round of 16,England,4,1,H,Italy won in AET,Germany,England,2010-06-27,Jun,Sunday,2010s,June
2010,South Africa,Johannesburg,Round of 16,Chile,3,0,H,Italy won in AET,Brazil,Chile,2010-06-28,Jun,Monday,2010s,June
2010,South Africa,Durban,Round of 16,Slovakia,2,1,H,Italy won in AET,Netherlands,Slovakia,2010-06-28,Jun,Monday,2010s,June
2010,South Africa,Pretoria,Round of 16,Japan,0,0,H,Paraguay won in penalties (5 - 3),Paraguay,Japan,2010-06-29,Jun,Tuesday,2010s,June
2010,South Africa,Cape Town,Round of 16,Portugal,1,0,H,Italy won in AET,Spain,Portugal,2010-06-29,Jun,Tuesday,2010s,June
2010,South Africa,Port Elizabeth,Quarterfinals,Brazil,2,1,H,Italy won in AET,Netherlands,Brazil,2010-07-02,Jul,Friday,2010s,July
2010,South Africa,Johannesburg,Quarterfinals,Ghana,1,1,H,Uruguay won in penalties (4 - 2),Uruguay,Ghana,2010-07-02,Jul,Friday,2010s,July
2010,South Africa,Cape Town,Quarterfinals,Germany,0,4,A,Italy won in AET,Germany,Argentina,2010-07-03,Jul,Saturday,2010s,July
2010,South Africa,Johannesburg,Quarterfinals,Spain,0,1,A,Italy won in AET,Spain,Paraguay,2010-07-03,Jul,Saturday,2010s,July
2010,South Africa,Cape Town,Semifinals,Netherlands,2,3,A,Italy won in AET,Netherlands,Uruguay,2010-07-06,Jul,Tuesday,2010s,July
2010,South Africa,Durban,Semifinals,Spain,0,1,A,Italy won in AET,Spain,Germany,2010-07-07,Jul,Wednesday,2010s,July
2010,South Africa,Port Elizabeth,Third place,Germany,2,3,A,Italy won in AET,Germany,Uruguay,2010-07-10,Jul,Saturday,2010s,July
2010,South Africa,Johannesburg,Final,Spain,0,1,A,Spain won in AET,Spain,Netherlands,2010-07-11,Jul,Sunday,2010s,July
2014,Brazil,São Paulo,Group A,Croatia,3,1,H,Italy won in AET,Brazil,Croatia,2014-06-12,Jun,Thursday,2010s,June
2014,Brazil,Cuiabá,Group B,Australia,3,1,H,Italy won in AET,Chile,Australia,2014-06-13,Jun,Friday,2010s,June
2014,Brazil,Natal,Group A,Cameroon,1,0,H,Italy won in AET,Mexico,Cameroon,2014-06-13,Jun,Friday,2010s,June
2014,Brazil,Salvador,Group B,Netherlands,1,5,A,Italy won in AET,Netherlands,Spain,2014-06-13,Jun,Friday,2010s,June
2014,Brazil,Belo Horizonte,Group C,Greece,3,0,H,Italy won in AET,Colombia,Greece,2014-06-14,Jun,Saturday,2010s,June
2014,Brazil,Manaus,Group D,Italy,1,2,A,Italy won in AET,Italy,England,2014-06-14,Jun,Saturday,2010s,June
2014,Brazil,Recife,Group C,Japan,2,1,H,Italy won in AET,Ivory Coast,Japan,2014-06-14,Jun,Saturday,2010s,June
2014,Brazil,Fortaleza,Group D,Costa Rica,1,3,A,Italy won in AET,Costa Rica,Uruguay,2014-06-14,Jun,Saturday,2010s,June
2014,Brazil,Rio de Janeiro,Group F,Bosnia and Herzegovina,2,1,H,Italy won in AET,Argentina,Bosnia and Herzegovina,2014-06-15,Jun,Sunday,2010s,June
2014,Brazil,Porto Alegre,Group E,Honduras,3,0,H,Italy won in AET,France,Honduras,2014-06-15,Jun,Sunday,2010s,June
2014,Brazil,Brasília,Group E,Ecuador,2,1,H,Italy won in AET,Switzerland,Ecuador,2014-06-15,Jun,Sunday,2010s,June
2014,Brazil,Salvador,Group G,Portugal,4,0,H,Italy won in AET,Germany,Portugal,2014-06-16,Jun,Monday,2010s,June
2014,Brazil,Natal,Group G,United States,1,2,A,Italy won in AET,United States,Ghana,2014-06-16,Jun,Monday,2010s,June
2014,Brazil,Curitiba,Group F,Nigeria,0,0,D,Italy won in AET,Brazil,Mexico,2014-06-16,Jun,Monday,2010s,June
2014,Brazil,Belo Horizonte,Group H,Algeria,2,1,H,Italy won in AET,Belgium,Algeria,2014-06-17,Jun,Tuesday,2010s,June
2014,Brazil,Fortaleza,Group A,Mexico,0,0,D,Italy won in AET,Brazil,Mexico,2014-06-17,Jun,Tuesday,2010s,June
2014,Brazil,Cuiabá,Group H,South Korea,1,1,D,Italy won in AET,Brazil,Mexico,2014-06-17,Jun,Tuesday,2010s,June
2014,Brazil,Curitiba,Group B,Netherlands,2,3,A,Italy won in AET,Netherlands,Australia,2014-06-18,Jun,Wednesday,2010s,June
2014,Brazil,Manaus,Group A,Croatia,0,4,A,Italy won in AET,Croatia,Cameroon,2014-06-18,Jun,Wednesday,2010s,June
2014,Brazil,Rio de Janeiro,Group B,Chile,0,2,A,Italy won in AET,Chile,Spain,2014-06-18,Jun,Wednesday,2010s,June
2014,Brazil,Brasília,Group C,Ivory Coast,2,1,H,Italy won in AET,Colombia,Ivory Coast,2014-06-19,Jun,Thursday,2010s,June
2014,Brazil,Natal,Group C,Greece,0,0,D,Italy won in AET,Brazil,Mexico,2014-06-19,Jun,Thursday,2010s,June
2014,Brazil,São Paulo,Group D,England,2,1,H,Italy won in AET,Uruguay,England,2014-06-19,Jun,Thursday,2010s,June
2014,Brazil,Curitiba,Group E,Ecuador,1,2,A,Italy won in AET,Ecuador,Honduras,2014-06-20,Jun,Friday,2010s,June
2014,Brazil,Recife,Group D,Costa Rica,0,1,A,Italy won in AET,Costa Rica,Italy,2014-06-20,Jun,Friday,2010s,June
2014,Brazil,Salvador,Group E,France,2,5,A,Italy won in AET,France,Switzerland,2014-06-20,Jun,Friday,2010s,June
2014,Brazil,Belo Horizonte,Group F,Iran,1,0,H,Italy won in AET,Argentina,Iran,2014-06-21,Jun,Saturday,2010s,June
