year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
1970,8,46,5,19,25,0.0,0.1,0,no win conditions,20,20,1970-06-11,1,4
1970,8,141,4,37,37,0.0,0.0,1,no win conditions,17,22,1970-06-11,1,4
1970,8,79,3,42,5,0.1,0.0,2,no win conditions,32,5,1970-06-11,1,4
1970,8,46,18,8,52,0.4,0.2,2,no win conditions,6,56,1970-06-14,1,3
1970,8,66,18,25,79,0.2,0.3,0,West Germany won in AET,65,28,1970-06-14,1,3
1970,8,141,18,42,37,0.1,0.4,0,no win conditions,28,46,1970-06-14,1,3
1970,8,79,18,66,77,0.0,0.1,0,Uruguay won in AET,63,70,1970-06-14,1,3
1970,8,46,20,8,77,0.3,0.1,2,no win conditions,6,81,1970-06-17,1,6
1970,8,79,20,78,37,0.3,0.4,0,Italy won in AET,28,83,1970-06-17,1,6
1970,8,79,21,78,77,0.1,0.0,2,no win conditions,65,81,1970-06-20,1,2
1970,8,79,1,8,37,0.4,0.1,2,no win conditions,6,41,1970-06-21,1,3
1974,5,39,4,8,80,0.0,0.0,1,no win conditions,17,22,1974-06-13,1,4
1974,5,29,4,80,59,0.0,0.2,0,no win conditions,48,85,1974-06-14,1,0
1974,5,49,3,21,3,0.2,0.0,2,no win conditions,18,3,1974-06-14,1,0
1974,5,7,3,78,12,0.1,0.0,2,no win conditions,65,12,1974-06-14,1,0
1974,5,86,6,38,31,0.3,0.1,2,no win conditions,28,34,1974-06-15,1,2
1974,5,137,6,53,2,0.3,0.2,2,no win conditions,41,2,1974-06-15,1,2
1974,5,31,5,68,9,0.0,0.0,1,no win conditions,17,22,1974-06-15,1,2
1974,5,50,5,77,44,0.0,0.2,0,no win conditions,34,81,1974-06-15,1,2
1974,5,7,3,12,21,0.1,0.1,1,no win conditions,17,22,1974-06-18,1,5
1974,5,49,3,78,3,0.3,0.0,2,no win conditions,65,3,1974-06-18,1,5
1974,5,39,4,59,8,0.0,0.0,1,no win conditions,17,22,1974-06-18,1,5
1974,5,41,4,79,81,0.5,0.0,2,no win conditions,66,85,1974-06-18,1,5
1974,5,137,6,2,37,0.1,0.1,1,no win conditions,17,22,1974-06-19,1,6
1974,5,50,5,9,77,0.1,0.1,1,no win conditions,17,22,1974-06-19,1,6
1974,5,86,6,31,53,0.0,0.5,0,no win conditions,41,34,1974-06-19,1,6
1974,5,29,5,44,68,0.0,0.0,1,no win conditions,17,22,1974-06-19,1,6
1974,5,7,3,3,12,0.0,0.0,1,no win conditions,17,22,1974-06-22,1,2
1974,5,41,4,80,8,0.0,0.3,0,no win conditions,6,85,1974-06-22,1,2
1974,5,49,3,78,21,0.0,0.1,0,no win conditions,18,83,1974-06-22,1,2
1974,5,39,4,59,80,0.1,0.1,1,no win conditions,17,22,1974-06-22,1,2
1974,5,86,6,2,31,0.4,0.1,2,no win conditions,1,34,1974-06-23,1,3
1974,5,29,5,9,44,0.1,0.4,0,no win conditions,34,9,1974-06-23,1,3
1974,5,137,6,53,37,0.2,0.1,2,no win conditions,41,41,1974-06-23,1,3
1974,5,31,5,68,77,0.3,0.0,2,no win conditions,57,81,1974-06-23,1,3
1974,5,50,9,8,21,0.1,0.0,2,no win conditions,6,24,1974-06-26,1,6
1974,5,31,10,78,80,0.2,0.0,2,no win conditions,65,84,1974-06-26,1,6
1974,5,41,9,44,2,0.4,0.0,2,no win conditions,34,2,1974-06-26,1,6
1974,5,137,10,68,53,0.0,0.1,0,no win conditions,41,72,1974-06-26,1,6
1974,5,50,9,2,8,0.1,0.2,0,no win conditions,6,2,1974-06-30,1,3
1974,5,41,9,21,44,0.0,0.2,0,no win conditions,34,83,1974-06-30,1,3
1974,5,31,10,78,68,0.4,0.2,2,no win conditions,65,72,1974-06-30,1,3
1974,5,39,10,53,80,0.2,0.1,2,no win conditions,41,84,1974-06-30,1,3
1974,5,41,9,2,21,0.1,0.1,1,no win conditions,17,22,1974-07-03,0,6
1974,5,39,10,78,53,0.1,0.0,2,no win conditions,65,57,1974-07-03,0,6
1974,5,29,9,44,8,0.2,0.0,2,no win conditions,34,8,1974-07-03,0,6
1974,5,31,10,68,80,0.2,0.1,2,no win conditions,57,84,1974-07-03,0,6
1974,5,86,21,8,53,0.0,0.1,0,no win conditions,41,8,1974-07-06,0,2
1974,5,86,1,78,44,0.2,0.1,2,no win conditions,65,48,1974-07-07,0,3
1978,0,16,4,78,53,0.0,0.0,1,no win conditions,17,22,1978-06-01,1,4
1978,0,16,3,2,33,0.2,0.1,2,no win conditions,1,36,1978-06-02,1,0
1978,0,76,3,27,37,0.1,0.2,0,no win conditions,28,30,1978-06-02,1,0
1978,0,117,4,42,72,0.1,0.3,0,no win conditions,59,46,1978-06-02,1,0
1978,0,16,5,4,67,0.2,0.1,2,no win conditions,3,71,1978-06-03,1,2
1978,0,76,5,8,68,0.1,0.1,1,no win conditions,17,22,1978-06-03,1,2
1978,0,78,6,35,44,0.0,0.3,0,no win conditions,34,38,1978-06-03,1,2
1978,0,25,6,52,59,0.3,0.1,2,no win conditions,40,63,1978-06-03,1,2
1978,0,16,3,2,27,0.2,0.1,2,no win conditions,1,30,1978-06-06,1,5
1978,0,25,4,78,42,0.5,0.0,2,no win conditions,65,46,1978-06-06,1,5
1978,0,76,3,33,37,0.1,0.3,0,no win conditions,28,36,1978-06-06,1,5
1978,0,117,4,53,72,0.1,0.0,2,no win conditions,41,76,1978-06-06,1,5
1978,0,16,5,4,68,0.1,0.0,2,no win conditions,3,72,1978-06-07,1,6
