year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
2002,South Korea,Incheon,Group A,Denmark,France,2,0,H,no win conditions,Denmark,France,2002-06-11,Jun,Tuesday,2000s,June
2002,Japan,Yokohama,Group E,Saudi Arabia,Republic of Ireland,0,3,A,no win conditions,Republic of Ireland,Saudi Arabia,2002-06-11,Jun,Tuesday,2000s,June
2002,South Korea,Suwon,Group A,Senegal,Uruguay,3,3,D,no win conditions,Draw match,Draw match,2002-06-11,Jun,Tuesday,2000s,June
2002,Japan,Osaka,Group F,Nigeria,England,0,0,D,no win conditions,Draw match,Draw match,2002-06-12,Jun,Wednesday,2000s,June
2002,South Korea,Seogwipo,Group B,Slovenia,Paraguay,1,3,A,no win conditions,Paraguay,Slovenia,2002-06-12,Jun,Wednesday,2000s,June
2002,South Korea,Daejeon,Group B,South Africa,Spain,2,3,A,no win conditions,Spain,South Africa,2002-06-12,Jun,Wednesday,2000s,June
2002,Japan,Rifu,Group F,Sweden,Argentina,1,1,D,no win conditions,Draw match,Draw match,2002-06-12,Jun,Wednesday,2000s,June
2002,South Korea,Suwon,Group C,Costa Rica,Brazil,2,5,A,no win conditions,Brazil,Costa Rica,2002-06-13,Jun,Thursday,2000s,June
2002,Japan,Yokohama,Group G,Ecuador,Croatia,1,0,H,no win conditions,Ecuador,Croatia,2002-06-13,Jun,Thursday,2000s,June
2002,Japan,Ōita,Group G,Mexico,Italy,1,1,D,no win conditions,Draw match,Draw match,2002-06-13,Jun,Thursday,2000s,June
2002,South Korea,Seoul,Group C,Turkey,China PR,3,0,H,no win conditions,Turkey,China PR,2002-06-13,Jun,Thursday,2000s,June
2002,Japan,Fukuroi,Group H,Belgium,Russia,3,2,H,no win conditions,Belgium,Russia,2002-06-14,Jun,Friday,2000s,June
2002,Japan,Osaka,Group H,Japan,Tunisia,2,0,H,no win conditions,Japan,Tunisia,2002-06-14,Jun,Friday,2000s,June
2002,South Korea,Incheon,Group D,South Korea,Portugal,1,0,H,no win conditions,South Korea,Portugal,2002-06-14,Jun,Friday,2000s,June
2002,South Korea,Daejeon,Group D,Poland,United States,3,1,H,no win conditions,Poland,United States,2002-06-14,Jun,Friday,2000s,June
2002,Japan,Niigata,Round of 16,Denmark,England,0,3,A,no win conditions,England,Denmark,2002-06-15,Jun,Saturday,2000s,June
2002,South Korea,Seogwipo,Round of 16,Germany,Paraguay,1,0,H,no win conditions,Germany,Paraguay,2002-06-15,Jun,Saturday,2000s,June
2002,South Korea,Suwon,Round of 16,Spain,Republic of Ireland,1,1,H,Spain won in penalties (3 - 2),Spain,Republic of Ireland,2002-06-16,Jun,Sunday,2000s,June
2002,Japan,Ōita,Round of 16,Sweden,Senegal,1,2,A,Senegal won in AET,Senegal,Sweden,2002-06-16,Jun,Sunday,2000s,June
2002,Japan,Kobe,Round of 16,Brazil,Belgium,2,0,H,no win conditions,Brazil,Belgium,2002-06-17,Jun,Monday,2000s,June
2002,South Korea,Jeonju,Round of 16,Mexico,United States,0,2,A,no win conditions,United States,Mexico,2002-06-17,Jun,Monday,2000s,June
2002,Japan,Rifu,Round of 16,Japan,Turkey,0,1,A,no win conditions,Turkey,Japan,2002-06-18,Jun,Tuesday,2000s,June
